,date,MODZCTA_Location,death_Rate,dayofyear,year,deathrate_by_modzcta_ID
304,2020-07-01,10011,,183,2020,2203
305,2020-08-01,10011,,214,2020,2234
306,2020-09-01,10011,0.0,245,2020,2265
307,2020-10-01,10011,0.0,275,2020,2295
308,2020-11-01,10011,,306,2020,2326
309,2020-12-01,10011,0.0,336,2020,2356
310,2021-01-01,10011,,1,2021,2022
311,2021-02-01,10011,10.1,32,2021,2053
312,2021-03-01,10011,16.1,60,2021,2081
313,2021-04-01,10011,0.0,91,2021,2112
314,2021-05-01,10011,,121,2021,2142
315,2021-06-01,10011,,152,2021,2173
316,2021-07-01,10011,,182,2021,2203
317,2021-08-01,10011,0.0,213,2021,2234
318,2021-09-01,10011,,244,2021,2265
319,2021-10-01,10011,0.0,274,2021,2295
320,2020-03-01,10012,,61,2020,2081
321,2020-04-01,10012,56.2,92,2020,2112
322,2020-05-01,10012,,122,2020,2142
323,2020-06-01,10012,,153,2020,2173
324,2020-07-01,10012,0.0,183,2020,2203
325,2020-08-01,10012,0.0,214,2020,2234
326,2020-09-01,10012,0.0,245,2020,2265
327,2020-10-01,10012,0.0,275,2020,2295
328,2020-11-01,10012,0.0,306,2020,2326
329,2020-12-01,10012,,336,2020,2356
330,2021-01-01,10012,,1,2021,2022
331,2021-02-01,10012,,32,2021,2053
332,2021-03-01,10012,0.0,60,2021,2081
333,2021-04-01,10012,,91,2021,2112
334,2021-05-01,10012,,121,2021,2142
335,2021-06-01,10012,,152,2021,2173
336,2021-07-01,10012,,182,2021,2203
337,2021-08-01,10012,0.0,213,2021,2234
338,2021-09-01,10012,,244,2021,2265
339,2021-10-01,10012,0.0,274,2021,2295
340,2020-03-01,10013,,61,2020,2081
341,2020-04-01,10013,48.6,92,2020,2112
342,2020-05-01,10013,,122,2020,2142
343,2020-06-01,10013,,153,2020,2173
344,2020-07-01,10013,0.0,183,2020,2203
345,2020-08-01,10013,0.0,214,2020,2234
346,2020-09-01,10013,,245,2020,2265
347,2020-10-01,10013,,275,2020,2295
348,2020-11-01,10013,,306,2020,2326
349,2020-12-01,10013,,336,2020,2356
350,2021-01-01,10013,,1,2021,2022
351,2021-02-01,10013,,32,2021,2053
352,2021-03-01,10013,27.8,60,2021,2081
353,2021-04-01,10013,,91,2021,2112
354,2021-05-01,10013,,121,2021,2142
355,2021-06-01,10013,0.0,152,2021,2173
356,2021-07-01,10013,,182,2021,2203
357,2021-08-01,10013,0.0,213,2021,2234
358,2021-09-01,10013,0.0,244,2021,2265
359,2021-10-01,10013,0.0,274,2021,2295
360,2020-03-01,10014,16.5,61,2020,2081
361,2020-04-01,10014,62.6,92,2020,2112
362,2020-05-01,10014,,122,2020,2142
363,2020-06-01,10014,,153,2020,2173
364,2020-07-01,10014,,183,2020,2203
365,2020-08-01,10014,0.0,214,2020,2234
366,2020-09-01,10014,0.0,245,2020,2265
367,2020-10-01,10014,0.0,275,2020,2295
368,2020-11-01,10014,0.0,306,2020,2326
369,2020-12-01,10014,,336,2020,2356
370,2021-01-01,10014,0.0,1,2021,2022
371,2021-02-01,10014,,32,2021,2053
372,2021-03-01,10014,,60,2021,2081
373,2021-04-01,10014,,91,2021,2112
374,2021-05-01,10014,,121,2021,2142
375,2021-06-01,10014,0.0,152,2021,2173
376,2021-07-01,10014,,182,2021,2203
377,2021-08-01,10014,0.0,213,2021,2234
378,2021-09-01,10014,0.0,244,2021,2265
379,2021-10-01,10014,0.0,274,2021,2295
380,2020-03-01,10016,19.6,61,2020,2081
381,2020-04-01,10016,68.7,92,2020,2112
382,2020-05-01,10016,,122,2020,2142
383,2020-06-01,10016,,153,2020,2173
384,2020-07-01,10016,0.0,183,2020,2203
385,2020-08-01,10016,,214,2020,2234
386,2020-09-01,10016,0.0,245,2020,2265
387,2020-10-01,10016,,275,2020,2295
388,2020-11-01,10016,,306,2020,2326
389,2020-12-01,10016,,336,2020,2356
390,2021-01-01,10016,19.6,1,2021,2022
391,2021-02-01,10016,15.7,32,2021,2053
392,2021-03-01,10016,,60,2021,2081
393,2021-04-01,10016,,91,2021,2112
394,2021-05-01,10016,,121,2021,2142
395,2021-06-01,10016,0.0,152,2021,2173
396,2021-07-01,10016,0.0,182,2021,2203
397,2021-08-01,10016,0.0,213,2021,2234
398,2021-09-01,10016,0.0,244,2021,2265
399,2021-10-01,10016,,274,2021,2295
400,2020-03-01,10017,,61,2020,2081
401,2020-04-01,10017,64.0,92,2020,2112
402,2020-05-01,10017,,122,2020,2142
403,2020-06-01,10017,0.0,153,2020,2173
404,2020-07-01,10017,,183,2020,2203
405,2020-08-01,10017,,214,2020,2234
406,2020-09-01,10017,0.0,245,2020,2265
407,2020-10-01,10017,,275,2020,2295
408,2020-11-01,10017,0.0,306,2020,2326
409,2020-12-01,10017,,336,2020,2356
410,2021-01-01,10017,,1,2021,2022
411,2021-02-01,10017,,32,2021,2053
412,2021-03-01,10017,,60,2021,2081
413,2021-04-01,10017,,91,2021,2112
414,2021-05-01,10017,0.0,121,2021,2142
415,2021-06-01,10017,,152,2021,2173
416,2021-07-01,10017,,182,2021,2203
417,2021-08-01,10017,,213,2021,2234
418,2021-09-01,10017,0.0,244,2021,2265
419,2021-10-01,10017,0.0,274,2021,2295
420,2020-03-01,10018,,61,2020,2081
421,2020-04-01,10018,42.4,92,2020,2112
422,2020-05-01,10018,0.0,122,2020,2142
423,2020-06-01,10018,0.0,153,2020,2173
424,2020-07-01,10018,,183,2020,2203
425,2020-08-01,10018,,214,2020,2234
426,2020-09-01,10018,0.0,245,2020,2265
427,2020-10-01,10018,,275,2020,2295
428,2020-11-01,10018,0.0,306,2020,2326
429,2020-12-01,10018,0.0,336,2020,2356
430,2021-01-01,10018,0.0,1,2021,2022
431,2021-02-01,10018,,32,2021,2053
432,2021-03-01,10018,0.0,60,2021,2081
433,2021-04-01,10018,0.0,91,2021,2112
434,2021-05-01,10018,0.0,121,2021,2142
435,2021-06-01,10018,,152,2021,2173
436,2021-07-01,10018,,182,2021,2203
437,2021-08-01,10018,,213,2021,2234
438,2021-09-01,10018,0.0,244,2021,2265
439,2021-10-01,10018,,274,2021,2295
440,2020-03-01,10019,,61,2020,2081
441,2020-04-01,10019,96.5,92,2020,2112
442,2020-05-01,10019,,122,2020,2142
443,2020-06-01,10019,,153,2020,2173
444,2020-07-01,10019,,183,2020,2203
445,2020-08-01,10019,0.0,214,2020,2234
446,2020-09-01,10019,,245,2020,2265
447,2020-10-01,10019,,275,2020,2295
448,2020-11-01,10019,0.0,306,2020,2326
449,2020-12-01,10019,,336,2020,2356
450,2021-01-01,10019,,1,2021,2022
451,2021-02-01,10019,18.4,32,2021,2053
452,2021-03-01,10019,11.5,60,2021,2081
453,2021-04-01,10019,,91,2021,2112
454,2021-05-01,10019,,121,2021,2142
455,2021-06-01,10019,0.0,152,2021,2173
456,2021-07-01,10019,0.0,182,2021,2203
457,2021-08-01,10019,,213,2021,2234
458,2021-09-01,10019,,244,2021,2265
459,2021-10-01,10019,0.0,274,2021,2295
460,2020-03-01,10021,24.0,61,2020,2081
461,2020-04-01,10021,104.6,92,2020,2112
462,2020-05-01,10021,26.2,122,2020,2142
463,2020-06-01,10021,,153,2020,2173
464,2020-07-01,10021,0.0,183,2020,2203
465,2020-08-01,10021,,214,2020,2234
466,2020-09-01,10021,0.0,245,2020,2265
467,2020-10-01,10021,,275,2020,2295
468,2020-11-01,10021,,306,2020,2326
469,2020-12-01,10021,,336,2020,2356
470,2021-01-01,10021,,1,2021,2022
471,2021-02-01,10021,17.4,32,2021,2053
472,2021-03-01,10021,,60,2021,2081
473,2021-04-01,10021,,91,2021,2112
474,2021-05-01,10021,,121,2021,2142
475,2021-06-01,10021,0.0,152,2021,2173
476,2021-07-01,10021,0.0,182,2021,2203
477,2021-08-01,10021,,213,2021,2234
478,2021-09-01,10021,,244,2021,2265
479,2021-10-01,10021,0.0,274,2021,2295
480,2020-03-01,10022,,61,2020,2081
481,2020-04-01,10022,71.2,92,2020,2112
482,2020-05-01,10022,29.1,122,2020,2142
483,2020-06-01,10022,,153,2020,2173
484,2020-07-01,10022,0.0,183,2020,2203
485,2020-08-01,10022,0.0,214,2020,2234
486,2020-09-01,10022,,245,2020,2265
487,2020-10-01,10022,0.0,275,2020,2295
488,2020-11-01,10022,,306,2020,2326
489,2020-12-01,10022,,336,2020,2356
490,2021-01-01,10022,,1,2021,2022
491,2021-02-01,10022,,32,2021,2053
492,2021-03-01,10022,16.2,60,2021,2081
493,2021-04-01,10022,0.0,91,2021,2112
494,2021-05-01,10022,,121,2021,2142
495,2021-06-01,10022,,152,2021,2173
496,2021-07-01,10022,,182,2021,2203
497,2021-08-01,10022,,213,2021,2234
498,2021-09-01,10022,,244,2021,2265
499,2021-10-01,10022,,274,2021,2295
500,2020-03-01,10023,19.4,61,2020,2081
501,2020-04-01,10023,76.1,92,2020,2112
502,2020-05-01,10023,9.7,122,2020,2142
503,2020-06-01,10023,0.0,153,2020,2173
504,2020-07-01,10023,,183,2020,2203
505,2020-08-01,10023,0.0,214,2020,2234
506,2020-09-01,10023,0.0,245,2020,2265
507,2020-10-01,10023,,275,2020,2295
508,2020-11-01,10023,0.0,306,2020,2326
509,2020-12-01,10023,,336,2020,2356
510,2021-01-01,10023,8.1,1,2021,2022
511,2021-02-01,10023,16.2,32,2021,2053
512,2021-03-01,10023,12.9,60,2021,2081
513,2021-04-01,10023,8.1,91,2021,2112
514,2021-05-01,10023,,121,2021,2142
515,2021-06-01,10023,0.0,152,2021,2173
516,2021-07-01,10023,,182,2021,2203
517,2021-08-01,10023,0.0,213,2021,2234
518,2021-09-01,10023,,244,2021,2265
519,2021-10-01,10023,0.0,274,2021,2295
520,2020-03-01,10024,20.5,61,2020,2081
521,2020-04-01,10024,101.0,92,2020,2112
522,2020-05-01,10024,27.4,122,2020,2142
523,2020-06-01,10024,,153,2020,2173
524,2020-07-01,10024,,183,2020,2203
525,2020-08-01,10024,0.0,214,2020,2234
526,2020-09-01,10024,0.0,245,2020,2265
527,2020-10-01,10024,0.0,275,2020,2295
528,2020-11-01,10024,,306,2020,2326
529,2020-12-01,10024,,336,2020,2356
530,2021-01-01,10024,10.3,1,2021,2022
531,2021-02-01,10024,17.1,32,2021,2053
532,2021-03-01,10024,10.3,60,2021,2081
533,2021-04-01,10024,,91,2021,2112
534,2021-05-01,10024,,121,2021,2142
535,2021-06-01,10024,,152,2021,2173
536,2021-07-01,10024,0.0,182,2021,2203
537,2021-08-01,10024,,213,2021,2234
538,2021-09-01,10024,,244,2021,2265
539,2021-10-01,10024,0.0,274,2021,2295
540,2020-03-01,10025,24.0,61,2020,2081
541,2020-04-01,10025,173.5,92,2020,2112
542,2020-05-01,10025,43.7,122,2020,2142
543,2020-06-01,10025,7.6,153,2020,2173
544,2020-07-01,10025,,183,2020,2203
545,2020-08-01,10025,,214,2020,2234
546,2020-09-01,10025,,245,2020,2265
547,2020-10-01,10025,,275,2020,2295
548,2020-11-01,10025,5.5,306,2020,2326
549,2020-12-01,10025,13.1,336,2020,2356
550,2021-01-01,10025,14.2,1,2021,2022
551,2021-02-01,10025,29.5,32,2021,2053
552,2021-03-01,10025,20.7,60,2021,2081
553,2021-04-01,10025,21.8,91,2021,2112
554,2021-05-01,10025,9.8,121,2021,2142
555,2021-06-01,10025,,152,2021,2173
556,2021-07-01,10025,,182,2021,2203
557,2021-08-01,10025,,213,2021,2234
558,2021-09-01,10025,,244,2021,2265
559,2021-10-01,10025,,274,2021,2295
560,2020-03-01,10026,12.9,61,2020,2081
561,2020-04-01,10026,113.8,92,2020,2112
562,2020-05-01,10026,33.6,122,2020,2142
563,2020-06-01,10026,,153,2020,2173
564,2020-07-01,10026,,183,2020,2203
565,2020-08-01,10026,,214,2020,2234
566,2020-09-01,10026,,245,2020,2265
567,2020-10-01,10026,,275,2020,2295
568,2020-11-01,10026,,306,2020,2326
569,2020-12-01,10026,,336,2020,2356
570,2021-01-01,10026,20.7,1,2021,2022
571,2021-02-01,10026,25.9,32,2021,2053
572,2021-03-01,10026,15.5,60,2021,2081
573,2021-04-01,10026,15.5,91,2021,2112
574,2021-05-01,10026,,121,2021,2142
575,2021-06-01,10026,0.0,152,2021,2173
576,2021-07-01,10026,0.0,182,2021,2203
577,2021-08-01,10026,,213,2021,2234
578,2021-09-01,10026,,244,2021,2265
